tick,timestamp_ms,avg_packet_loss,num_degraded_channels,num_degraded_devices
1,500,0.9875,3,8
2,1000,0.0,3,0
3,1500,0.0,3,0
4,2000,0.0,3,0
5,2500,0.0,3,0
6,3000,0.0,3,0
7,3500,0.0,3,0
8,4000,0.0,3,0
9,4500,0.0,3,0
10,5000,0.0,3,0
11,5500,0.0,3,0
12,6000,0.0,3,0
13,6500,0.0,3,0
14,7000,0.0,3,0
15,7500,0.0,3,0
16,8000,0.0,3,0
17,8500,0.0,3,0
18,9000,0.0,3,0
19,9500,0.0,3,0
20,10000,0.0,3,0
21,10500,0.0,3,0
22,11000,0.0,3,0
23,11500,0.0,3,0
24,12000,0.0,3,0
25,12500,0.0,3,0
26,13000,0.0,3,0
27,13500,0.0,3,0
28,14000,0.0,3,0
29,14500,0.0,3,0
30,15000,0.0,3,0
31,15500,0.0,3,0
32,16000,0.0,3,0
33,16500,0.0,3,0
34,17000,0.0,3,0
35,17500,0.0,3,0
36,18000,0.0,3,0
37,18500,0.0,3,0
38,19000,0.0,3,0
39,19500,0.0,3,0
40,20000,0.0,3,0
41,20500,0.0,3,0
42,21000,0.0,3,0
43,21500,0.0,3,0
44,22000,0.0,3,0
45,22500,0.0,3,0
46,23000,0.0,3,0
47,23500,0.0,3,0
48,24000,0.0,3,0
49,24500,0.0,3,0
50,25000,0.0,3,0
51,25500,0.0,3,0
52,26000,0.0,3,0
53,26500,0.0,3,0
54,27000,0.0,3,0
55,27500,0.0,3,0
56,28000,0.0,3,0
57,28500,0.0,3,0
58,29000,0.0,3,0
59,29500,0.0,3,0
60,30000,0.0,3,0
